symobl	Definition	Description
VPS11	Ring finger	E3 ubiquitin-protein ligase activity is intrinsic to the RING domain of c-Cbl and is likely to be a general function of this domain; Various RING fingers exhibit binding activity towards E2 ubiquitin-conjugating enzymes (Ubc' s)	
STX17	Helical region found in SNAREs	All alpha-helical motifs that form twisted and parallel four-helix bundles in target soluble N-ethylmaleimide-sensitive factor (NSF) attachment protein (SNAP) receptor proteins. This motif found in "Q-SNAREs". 	
PSEN1	Presenilin, signal peptide peptidase, family	Presenilin 1 and presenilin 2 are polytopic membrane proteins, whose genes are mutated in some individuals with Alzheimer's disease. Distant homologues, present in eukaryotes and archaea, also contain conserved aspartic acid residues which are predicted to contribute to catalysis. At least one member of this family has been shown to possess signal peptide peptidase activity. 	
ATP2A2	Cation transporter/ATPase, N-terminus	This entry represents the conserved N-terminal region found in several classes of cation-transporting P-type ATPases, including those that transport H+, Na+, Ca2+, Na+/K+, and H+/K+. In the H+/K+- and Na+/K+-exchange P-ATPases, this domain is found in the catalytic alpha chain. In gastric H+/K+-ATPases, this domain undergoes reversible sequential phosphorylation inducing conformational changes that may be important for regulating the function of these ATPases PUBMED:12480547, PUBMED:12529322.	
TOM1	Domain present in VPS-27, Hrs and STAM	Unpublished observations. Domain of unknown function.	
STX6	Helical region found in SNAREs	All alpha-helical motifs that form twisted and parallel four-helix bundles in target soluble N-ethylmaleimide-sensitive factor (NSF) attachment protein (SNAP) receptor proteins. This motif found in "Q-SNAREs". 	
RUBCN		This is a family of cysteine-rich proteins. Many members also carry a pleckstrin-homology domain,SM00233. 	
RUBCN		domain involved in Ras-like GTPase signaling	
TFEB	helix loop helix domain		
VTI1B	Helical region found in SNAREs	All alpha-helical motifs that form twisted and parallel four-helix bundles in target soluble N-ethylmaleimide-sensitive factor (NSF) attachment protein (SNAP) receptor proteins. This motif found in "Q-SNAREs". 	
MYO6	Myosin. Large ATPases.	ATPase; molecular motor. Muscle contraction consists of a cyclical interaction between myosin and actin. The core of the myosin structure is similar in fold to that of kinesin.	
RAB29	Ran (Ras-related nuclear proteins) /TC4 subfamily of small GTPases	Ran is involved in the active transport of proteins through nuclear pores.	
RAB29	Rab subfamily of small GTPases	Rab GTPases are implicated in vesicle trafficking.	
RAB29	Ras subfamily of RAS small GTPases	Similar in fold and function to the bacterial EF-Tu GTPase. p21Ras couples receptor Tyr kinases and G protein receptors  to protein kinase cascades	
RAB29	Rho (Ras homology) subfamily of Ras-like small GTPases	Members of this subfamily of Ras-like small GTPases include Cdc42 and Rac, as well as Rho isoforms.	
DCTN1		Cytoskeleton-associated proteins (CAPs) are involved in the organisation of microtubules and transportation of vesicles and organelles along the cytoskeletal network. A conserved motif, CAP-Gly, has been identified in a number of CAPs, including CLIP-170 and dynactins. The crystal structure of Caenorhabditis elegans F53F4.3 protein Q20728 CAP-Gly domain was recently solved PUBMED:12221106. The domain contains three beta-strands. The most conserved sequence, GKNDG, is located in two consecutive sharp turns on the surface, forming the entrance to a groove PUBMED:12221106.	
CACNA1A	Voltage gated calcium channel IQ domain	Voltage gated calcium channels control cellular calcium entry in response to changes in membrane potential. The isoleucine-glutamine (IQ) motif in the voltage gated calcium channel IQ domain interacts with hydrophobic pockets of Ca2+/calmodulin PUBMED:16299511. The interaction regulates two self-regulatory calcium dependent feedback mechanism, calcium dependent inactivation (CDI), and calcium-dependent facilitation (CDF).	
AMBRA1	WD40 repeats	Note that these repeats are permuted with respect to the structural repeats (blades) of the beta propeller domain.	
INPP5E	Inositol polyphosphate phosphatase, catalytic domain homologues	Mg(2+)-dependent/Li(+)-sensitive enzymes.	
RAB7B	Rho (Ras homology) subfamily of Ras-like small GTPases	Members of this subfamily of Ras-like small GTPases include Cdc42 and Rac, as well as Rho isoforms.	
RAB7B	Rab subfamily of small GTPases	Rab GTPases are implicated in vesicle trafficking.	
RAB7B	Ran (Ras-related nuclear proteins) /TC4 subfamily of small GTPases	Ran is involved in the active transport of proteins through nuclear pores.	
RAB7B	Ras subfamily of RAS small GTPases	Similar in fold and function to the bacterial EF-Tu GTPase. p21Ras couples receptor Tyr kinases and G protein receptors  to protein kinase cascades	
RAB34	Rho (Ras homology) subfamily of Ras-like small GTPases	Members of this subfamily of Ras-like small GTPases include Cdc42 and Rac, as well as Rho isoforms.	
RAB34	Ran (Ras-related nuclear proteins) /TC4 subfamily of small GTPases	Ran is involved in the active transport of proteins through nuclear pores.	
RAB34	Ras subfamily of RAS small GTPases	Similar in fold and function to the bacterial EF-Tu GTPase. p21Ras couples receptor Tyr kinases and G protein receptors  to protein kinase cascades	
RAB34	Rab subfamily of small GTPases	Rab GTPases are implicated in vesicle trafficking.	
